Data,IdProduto,Quantidade,CodEmpresa
12/12/2025,P0001EOP96,21,002
12/12/2025,P0000DHE3S,-73,002
12/12/2025,P000034XEU,1492,002
12/12/2025,P00003PHF5,68,002
12/12/2025,P0001EHD4G,43,002
12/12/2025,P00002XQ8W,2677,002
12/12/2025,P0000A4A3B,111,002
12/12/2025,P0000A5T24,16,002
12/12/2025,P0000D3X7F,54,002
12/12/2025,P00002Q496,939,002
12/12/2025,P00012RZ6I,-1122,002
12/12/2025,P00002XN2I,1188,002
12/12/2025,P00004GVJ8,360,002
12/12/2025,P000048MQ1,1,002
12/12/2025,P00002OY1J,1029,002
12/12/2025,P0000WG3JA,129944,002
12/12/2025,P0000WIC15,28268,002
12/12/2025,P0000E9D3Z,0,002
12/12/2025,P00004KM16,-1,002
12/12/2025,P0000QYLBV,9,002
12/12/2025,P00003RBO2,63,002
12/12/2025,P0001EIF1X,50,002
12/12/2025,P00003HD99,392,002
12/12/2025,P00005FJ41,7239,002
12/12/2025,P000044LCE,747,002
12/12/2025,P00003HA03,34,002
12/12/2025,P00003HPAP,520,002
12/12/2025,P0000XXDJ8,59,002
12/12/2025,P000040E57,156,002
12/12/2025,P00004ZY0B,22910,002
12/12/2025,P00013EPDS,9,002
12/12/2025,P0001EM679,17,002
12/12/2025,P0000OJM80,96,002
12/12/2025,P00004C75V,-64,002
12/12/2025,P00004CM9V,-69,002
12/12/2025,P0000LJO1I,19,002
12/12/2025,P00003YHCS,24,002
12/12/2025,P00003XN0V,26,002
12/12/2025,P00003YEE2,9,002
12/12/2025,P00003XH00,20,002
12/12/2025,P0000T53AF,44,002
12/12/2025,P0000KX51W,180,002
12/12/2025,P0001375E2,19,002
12/12/2025,P0000LAY9D,130,002
12/12/2025,P00002Q11U,1981,002
12/12/2025,P00003VB2T,30,002
12/12/2025,P00002QVHL,531,002
12/12/2025,P0000E2IPV,-19,002
12/12/2025,P00005G13W,342,002
12/12/2025,P0000WIO5K,7358,002
12/12/2025,P0000WIK1B,41793,002
12/12/2025,P0000P3E9K,77,002
12/12/2025,P00003I7B8,212,002
12/12/2025,P0000SOG24,79,002
12/12/2025,P000048G0X,-626,002
12/12/2025,P0001EI0CI,45,002
12/12/2025,P0000QHG13,28,002
12/12/2025,P0000OWX8P,69,002
12/12/2025,P00003XW9Q,287,002
12/12/2025,P0000WEYG6,12164,002
12/12/2025,P0000LJ5F3,65,002
12/12/2025,P0000E327H,47,002
12/12/2025,P0000QL803,38,002
12/12/2025,P0000DHN50,-6,002
12/12/2025,P0000WFX8O,36966,002
12/12/2025,P00003DY4B,19422,002
12/12/2025,P0000WI85M,9339,002
12/12/2025,P0000TSQBW,13,002
12/12/2025,P0000RIQAM,4,002
12/12/2025,P0001FHZ24,6,002
12/12/2025,P0001EIQ61,45,002
12/12/2025,P0001EEUI1,403,002
12/12/2025,P0000E9800,136,002
12/12/2025,P00003R8DU,187,002
12/12/2025,P00003M74Y,152,002
12/12/2025,P00002MPIB,73,002
12/12/2025,P0000WHOAJ,23938,002
12/12/2025,P00003GP3G,2767,002
12/12/2025,P0000QRHPK,52,002
12/12/2025,P0000QR91C,17,002
12/12/2025,P0000WGV09,89368,002
12/12/2025,P0000WFOQB,89921,002
12/12/2025,P00002EWCU,2569,002
12/12/2025,P00002ES00,769,002
12/12/2025,P000048PKR,28,002
12/12/2025,P0000LHREB,119,002
12/12/2025,P0000OGD3J,57,002
12/12/2025,P00003IP8V,27,002
12/12/2025,P00002LY3G,5378,002
12/12/2025,P00003H45C,514,002
12/12/2025,P00013EMKH,-1,002
12/12/2025,P00013F596,10,002
12/12/2025,P00003HG07,1279,002
12/12/2025,P00003THAJ,44,002
12/12/2025,P00003H10D,153,002
12/12/2025,P00002GD15,3724,002
12/12/2025,P00003NV07,42.39,002
12/12/2025,P0000WGO4B,149028,002
12/12/2025,P000043OH6,4163,002
12/12/2025,P0000RPQBT,231,002
12/12/2025,P0000YK9AW,26,002
12/12/2025,P0000WG94U,26310,002
12/12/2025,P00012TI62,22,002
12/12/2025,P00003660N,434,002
12/12/2025,P0000WF41K,62876,002
12/12/2025,P00003569V,1521,002
12/12/2025,P0001EXX8K,287,002
12/12/2025,P00002N7EE,499,002
12/12/2025,P00002N14B,713,002
12/12/2025,P00004CA5L,165,002
12/12/2025,P000043IB6,342,002
12/12/2025,P00002SS9G,571,002
12/12/2025,P000032EEK,46,002
12/12/2025,P0000DFE6S,-26,002
12/12/2025,P0000E4V2H,1648,002
12/12/2025,P000033500,86,002
12/12/2025,P00003RH2P,44,002
12/12/2025,P0000RL10M,-7,002
12/12/2025,P0000THQ0H,59,002
12/12/2025,P0000VLVL7,110,002
12/12/2025,P000031E4Q,356,002
12/12/2025,P0000VZ40E,-7,002
12/12/2025,P0001F5M5Q,14,002
12/12/2025,P00012TNLB,333,002
12/12/2025,P00002P7NG,1182,002
12/12/2025,P00003REEI,-19,002
12/12/2025,P00003HM81,422,002
12/12/2025,P0001F6J3S,17,002
12/12/2025,P0001EGD16,19,002
12/12/2025,P000040Z5D,6,002
12/12/2025,P00003TN75,27,002
13/12/2025,P00013DG17,72.8,002
13/12/2025,P0000WHR7X,15821,002
13/12/2025,P0000WIC15,28258,002
13/12/2025,P00003DY4B,19392,002
