IdProduto,Quantidade,UltimaAtualizacao,CodEmpresa
P0000T53AF,44,12/12/2025,002
P0000THQ0H,59,12/12/2025,002
P0000TSQBW,13,12/12/2025,002
P0000TZ5DD,194,11/12/2025,002
P0000TZX19,103,11/12/2025,002
P0000UN3NW,1,11/12/2025,002
P0000US2QU,60,12/12/2025,002
P0000UUY0F,119,12/12/2025,002
P0000UW5CK,1189,12/12/2025,002
P0000V3JGT,26,11/12/2025,002
P0000VLVL7,110,12/12/2025,002
P0000VQYTE,35,11/12/2025,002
P0000VZ40E,-7,12/12/2025,002
P0000WEYG6,12164,12/12/2025,002
P0000WF41K,62876,12/12/2025,002
P0000WFOQB,89921,12/12/2025,002
P0000WFX8O,36966,12/12/2025,002
P0000WG3JA,129944,12/12/2025,002
P0000WG94U,26310,12/12/2025,002
P0000WGIR6,54053,11/12/2025,002
P0000WGO4B,149028,12/12/2025,002
P0000WGV09,89368,12/12/2025,002
P0000WH1JJ,88470,11/12/2025,002
P0000WH80I,52720,11/12/2025,002
P0000WHOAJ,23938,12/12/2025,002
P0000WHR7X,15821,13/12/2025,002
P0000WHWCR,5681,11/12/2025,002
P0000WI4BJ,3667,12/12/2025,002
P0000WI85M,9339,12/12/2025,002
P0000WIC15,28258,13/12/2025,002
P0000WIK1B,41793,12/12/2025,002
P0000WIO5K,7358,12/12/2025,002
P0000XX8G8,-2,11/12/2025,002
P0000XXDJ8,59,12/12/2025,002
P0000YK9AW,26,12/12/2025,002
P00012RZ6I,-1122,12/12/2025,002
P00012TI62,22,12/12/2025,002
P00012TNLB,333,12/12/2025,002
P0001375E2,19,12/12/2025,002
P000137V13,160,11/12/2025,002
P00013DG17,72.8,13/12/2025,002
P00013EMKH,-1,12/12/2025,002
P00013EPDS,9,12/12/2025,002
P00013F596,10,12/12/2025,002
P00013ZY8J,-105,11/12/2025,002
P00014IT1B,127,11/12/2025,002
P000158M18,-18,11/12/2025,002
P0001EEUI1,403,12/12/2025,002
P0001EFH5F,14,11/12/2025,002
P0001EGD16,19,12/12/2025,002
P0001EHD4G,43,12/12/2025,002
P0001EI0CI,45,12/12/2025,002
P0001EIF1X,50,12/12/2025,002
P0001EIQ61,45,12/12/2025,002
P0001EJO8L,7,11/12/2025,002
P0001EK01B,19,11/12/2025,002
P0001EL043,62,11/12/2025,002
P0001EM679,17,12/12/2025,002
P0001EOP96,21,12/12/2025,002
P0001EXX8K,287,12/12/2025,002
P0001F5F73,7,11/12/2025,002
P0001F5M5Q,14,12/12/2025,002
P0001F6717,28,11/12/2025,002
P0001F6J3S,17,12/12/2025,002
P0001FHZ24,6,12/12/2025,002
