;;;;;;;;;;;;;;;;;;
000288;;RODIZIO SILICONE 35MM C/TV;;;;;;;;;;;;356;;9,11;;
000289;;TAPA FURO CIPRES;;;;;;;;;;;;244;;4,45;;
000293;;RODIZIO 158 - 60MM - SEM TRAVA;;;;;;;;;;;;23;;14,06;;
000294;;RODIZIO 158 - 60MM - COM TRAVA;;;;;;;;;;;;13;;16,11;;
000295;;RODIZIO 210 - 70MM - SEM TRAVA;;;;;;;;;;;;18;;15,56;;
000296;;RODIZIO 210 - 70MM - COM TRAVA;;;;;;;;;;;;10;;17,78;;
000299;;COMPENSADO PARICA 04MM - 2,20X1,60MT;;;;;;;;;;;;24;;97,78;;
000300;;COMPENSADO PARICA 10MM - 2,20X1,60MT;;;;;;;;;;;;46;;172,22;;
000301;;COMPENSADO PARICA 15MM - 2,20X1,60MT;;;;;;;;;;;;-22;;233,33;;
000302;;COMPENSADO PARICA 18MM - 2,20X1,60MT;;;;;;;;;;;;-4;;277,78;;
000303;;LAPIS PRETO;;;;;;;;;;;;123;;0,56;;
000306;;SISTEMA RO-61;;;;;;;;;;;;110;;35,54;;
000307;;SISTEMA RO-65;;;;;;;;;;;;0;;56,06;;
000308;;SISTEMA RO-80V;;;;;;;;;;;;30;;97,43;;
000309;;BROCA SDS N 7;;;;;;;;;;;;86;;11,11;;
000311;;LIXA MASSA GR 60;;;;;;;;;;;;1.822;;1,89;;
000312;;LIXA MASSA GR 80;;;;;;;;;;;;550;;1,89;;
000322;;TRILHO U 1/2 2MT;;;;;;;;;;;;-55;;16,45;;
000323;;TRILHO U 1/2 3MT;;;;;;;;;;;;-29;;22,80;;
000324;;TRILHO U 1/2 6MT;;;;;;;;;;;;125;;44,24;;
000326;;CANTONEIRA 20CM;;;;;;;;;;;;59;;15,00;;
000327;;CANTONEIRA 30CM;;;;;;;;;;;;16;;9,61;;
000329;;FECHADURA CILINDRO PORTA DE CORRER;;;;;;;;;;;;101;;20,00;;
000330;;BROCA ACO RAPIDO 1/8;;;;;;;;;;;;1.493;;4,45;;
000334;;LIXA MASSA GR 120;;;;;;;;;;;;1.536;;1,89;;
000342;;SISTEMA D-25;;;;;;;;;;;;171;;14,45;;
000346;;TRILHO D-25 3MT BRANCO;;;;;;;;;;;;812;;13,89;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;MADEPINUS;;;
;;;;;Tabela de Preços - Com Estoque;;;;;;;;Emissão:;12/12/2025 10:57;;;;
;;;;;;;;;;;;;;;;Página;3;
;;;;;;;;;;;;;;;;;;
Código;;;;Produto;;;;;;;;;;Qt. Est.;;Preço;;
;;;;;;;;;;;;;;;;;;
000347;;PISTAO 60N;;;;;;;;;;;;439;;12,22;;
000367;;SUPORTE PRATELEIRA INVISIVEL 150MM;;;;;;;;;;;;75;;11,11;;
000368;;SUPORTE PRATELEIRA INVISIVEL 200MM;;;;;;;;;;;;131;;10,56;;
000369;;SUPORTE PRATELEIRA INVISIVEL 250MM;;;;;;;;;;;;101;;12,22;;
000370;;SUPORTE PRATELEIRA INVISIVEL 300MM;;;;;;;;;;;;65;;13,33;;
000377;;BUCHA FIX MU NYLON N 6;;;;;;;;;;;;-16;;0,50;;
000378;;BUCHA FIX MU NYLON N 10;;;;;;;;;;;;47;;0,50;;
000382;;FITA BORDA IRLANDA 19MM;;;;;;;;;;;;26;;11,11;;
000384;;FITA BORDA IRLANDA 64MM;;;;;;;;;;;;21;;33,33;;
000385;;FITA BORDA SANTANA 19MM;;;;;;;;;;;;29;;11,11;;
000388;;FITA BORDA ZURICH 19MM;;;;;;;;;;;;27;;11,11;;
000389;;FITA BORDA ZURICH 35MM;;;;;;;;;;;;45;;22,22;;
000390;;FITA BORDA ZURICH 64MM;;;;;;;;;;;;25;;33,33;;
000391;;FITA BORDA LINHO 19MM;;;;;;;;;;;;77;;11,11;;
000402;;LIXA MASSA GR 100;;;;;;;;;;;;758;;1,89;;
000407;;BROCA SDS N 8;;;;;;;;;;;;59;;12,22;;
000408;;SERRA TICO-TICO - LAMINA;;;;;;;;;;;;253;;16,11;;
000415;;DISCO DE LIXA GR 36;;;;;;;;;;;;0;;10,56;;
000416;;DISCO DE LIXA GR 50;;;;;;;;;;;;73;;6,67;;
000417;;DISCO DE LIXA GR 60;;;;;;;;;;;;22;;6,67;;
000418;;DISCO DE LIXA GR 80;;;;;;;;;;;;101;;6,67;;
000419;;DISCO DE LIXA GR 100;;;;;;;;;;;;80;;6,67;;
000420;;DISCO DE LIXA GR 120;;;;;;;;;;;;10;;8,33;;
000429;;SUPORTE TAMPO RETRATIL 300MM;;;;;;;;;;;;8;;77,78;;
000430;;SUPORTE TAMPO RETRATIL 350MM;;;;;;;;;;;;6;;83,33;;
000432;;PORTA PANO 2 ARTES;;;;;;;;;;;;2;;48,89;;
000435;;FITA BORDA AMANTEA 19MM;;;;;;;;;;;;7;;11,11;;
000436;;FITA BORDA AMANTEA 35MM;;;;;;;;;;;;1;;22,22;;
000437;;FITA BORDA AMANTEA 64MM;;;;;;;;;;;;1;;33,33;;
000441;;BUCHA S-8 (TATU);;;;;;;;;;;;19.778;;0,17;;
000443;;TRILHO D-25 3MT MARRON;;;;;;;;;;;;2;;13,89;;
000445;;FORMAO 5/16;;;;;;;;;;;;12;;26,67;;
000446;;FORMAO 3/8;;;;;;;;;;;;19;;26,67;;
000447;;FORMAO 1/2;;;;;;;;;;;;10;;26,67;;
000448;;FORMAO 5/8;;;;;;;;;;;;4;;26,67;;
000449;;FORMAO 3/4;;;;;;;;;;;;13;;28,89;;
000450;;FORMAO 7/8;;;;;;;;;;;;10;;28,89;;
000451;;FORMAO 1;;;;;;;;;;;;11;;30,00;;
000452;;BROCA CHATA 1/2;;;;;;;;;;;;18;;13,33;;
000453;;BROCA CHATA 5/8;;;;;;;;;;;;15;;13,33;;
000454;;BROCA CHATA 3/4;;;;;;;;;;;;18;;13,33;;
000455;;BROCA CHATA 26MM;;;;;;;;;;;;40;;18,33;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;MADEPINUS;;;
;;;;;Tabela de Preços - Com Estoque;;;;;;;;Emissão:;12/12/2025 10:57;;;;
;;;;;;;;;;;;;;;;Página;4;
;;;;;;;;;;;;;;;;;;
Código;;;;Produto;;;;;;;;;;Qt. Est.;;Preço;;
;;;;;;;;;;;;;;;;;;
000456;;BROCA CHATA 35MM;;;;;;;;;;;;45;;25,56;;
